CMDLINE mpiexec -np 4 python DgaMain.py
CHLD 2 110.222656 1645770842.2378
CHLD 3 112.109375 1645770842.2379
CHLD 4 108.476562 1645770842.2381
MEM 1.707031 1645770842.3392
CHLD 0 1.753906 1645770842.3443
CHLD 1 123.269531 1645770842.3444
CHLD 2 110.230469 1645770842.3445
CHLD 3 112.109375 1645770842.3446
CHLD 4 108.480469 1645770842.3447
MEM 1.707031 1645770842.4465
CHLD 0 1.753906 1645770842.4522
CHLD 1 123.269531 1645770842.4523
CHLD 2 110.234375 1645770842.4524
CHLD 3 112.113281 1645770842.4525
CHLD 4 108.484375 1645770842.4527
MEM 1.707031 1645770842.5536
CHLD 0 1.753906 1645770842.5568
CHLD 1 123.269531 1645770842.5570
CHLD 2 110.238281 1645770842.5571
CHLD 3 112.117188 1645770842.5572
CHLD 4 108.488281 1645770842.5573
MEM 1.707031 1645770842.6596
CHLD 0 1.753906 1645770842.6632
CHLD 1 123.277344 1645770842.6633
CHLD 2 110.238281 1645770842.6634
CHLD 3 112.121094 1645770842.6636
CHLD 4 108.492188 1645770842.6637
MEM 1.707031 1645770842.7692
CHLD 0 1.753906 1645770842.7739
CHLD 1 124.679688 1645770842.7741
CHLD 2 110.242188 1645770842.7742
CHLD 3 112.128906 1645770842.7743
CHLD 4 109.941406 1645770842.7744
MEM 1.707031 1645770842.8753
CHLD 0 1.753906 1645770842.8783
CHLD 1 124.835938 1645770842.8786
CHLD 2 110.375000 1645770842.8787
CHLD 3 112.128906 1645770842.8797
CHLD 4 110.191406 1645770842.8798
MEM 1.707031 1645770842.9812
CHLD 0 1.753906 1645770842.9878
CHLD 1 124.988281 1645770842.9879
CHLD 2 111.679688 1645770842.9881
CHLD 3 112.132812 1645770842.9882
CHLD 4 110.191406 1645770842.9883
MEM 1.707031 1645770843.0892
CHLD 0 1.753906 1645770843.0931
CHLD 1 124.992188 1645770843.0933
CHLD 2 111.683594 1645770843.0934
CHLD 3 112.132812 1645770843.0936
CHLD 4 110.199219 1645770843.0937
MEM 1.707031 1645770843.1946
CHLD 0 1.753906 1645770843.1979
CHLD 1 124.992188 1645770843.1980
CHLD 2 111.683594 1645770843.1981
CHLD 3 112.136719 1645770843.1982
CHLD 4 110.203125 1645770843.1983
MEM 1.707031 1645770843.3035
CHLD 0 1.753906 1645770843.3066
CHLD 1 124.992188 1645770843.3067
CHLD 2 111.687500 1645770843.3069
CHLD 3 112.144531 1645770843.3070
CHLD 4 110.207031 1645770843.3071
MEM 1.707031 1645770843.4080
CHLD 0 1.753906 1645770843.4122
CHLD 1 124.992188 1645770843.4123
CHLD 2 111.687500 1645770843.4124
CHLD 3 113.429688 1645770843.4125
CHLD 4 110.207031 1645770843.4126
MEM 1.707031 1645770843.5139
CHLD 0 1.753906 1645770843.5213
CHLD 1 125.101562 1645770843.5214
CHLD 2 111.699219 1645770843.5215
CHLD 3 113.433594 1645770843.5216
CHLD 4 110.210938 1645770843.5217
MEM 1.707031 1645770843.6231
CHLD 0 1.753906 1645770843.6342
CHLD 1 126.468750 1645770843.6344
CHLD 2 111.699219 1645770843.6345
CHLD 3 113.441406 1645770843.6346
CHLD 4 111.621094 1645770843.6347
MEM 1.707031 1645770843.7365
CHLD 0 1.753906 1645770843.7400
CHLD 1 126.566406 1645770843.7402
CHLD 2 111.828125 1645770843.7403
CHLD 3 113.441406 1645770843.7404
CHLD 4 111.742188 1645770843.7405
MEM 1.707031 1645770843.8415
CHLD 0 1.753906 1645770843.8449
CHLD 1 126.570312 1645770843.8450
CHLD 2 113.171875 1645770843.8451
CHLD 3 113.449219 1645770843.8452
CHLD 4 111.742188 1645770843.8453
